Epoch,ScalVis_GausCosS:1.0_RecL10N1024VS0.1val_accuracy,ScalVis_GausVisS:1.0_RecL10N1024VS0.1val_accuracy
141,0.8444444537162781,0.8111110925674438
142,0.8333333134651184,0.8111110925674438
143,0.8333333134651184,0.8111110925674438
144,0.8444444537162781,0.8111110925674438
145,0.8444444537162781,0.8111110925674438
146,0.8444444537162781,0.8111110925674438
147,0.855555534362793,0.8111110925674438
148,0.8444444537162781,0.8111110925674438
149,0.8333333134651184,0.8111110925674438
150,0.8444444537162781,0.8111110925674438
151,0.8444444537162781,0.8111110925674438
152,0.8444444537162781,0.8111110925674438
153,0.855555534362793,0.8111110925674438
154,0.855555534362793,0.8111110925674438
155,0.8444444537162781,0.8111110925674438
156,0.8444444537162781,0.8111110925674438
157,0.855555534362793,0.8111110925674438
158,0.855555534362793,0.8111110925674438
159,0.8666666746139526,0.8111110925674438
160,0.8444444537162781,0.8111110925674438
